private_domain,failure_reason,reach,visits,in_visits_stratum,in_uniform_stratum,is_ddg_tracker,ddg_categories,ddg_owner,ha22_measured,wb_2022_capture,wb_snapshot_ts,wb_html_cached,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,wb_title,category,rationale,spotcheck,user_category
dynoflow.net,empty_groups,60,3464,True,False,False,,,True,False,,False,True,http_error,404.0,https://dynoflow.net/,,,True,https://dynoflow.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,unknown,"404 today, HA-measured in 2022 but no title/WB/DDG evidence of function",False,
everyonesez.com,empty_groups,22,3248,True,False,False,,,False,False,,False,True,live,200.0,https://everyonesez.com/en,Welcome to EveryoneSez,,True,https://everyonesez.com/en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Live opinion/review site (Welcome to EveryoneSez),False,
sawtoothsoftware.com,empty_groups,76,3205,True,False,False,,,True,False,,False,True,live,200.0,https://sawtoothsoftware.com/,Market Research Software | Find Survey Software & Market Research Solutions - Sawtooth Software,,True,https://sawtoothsoftware.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Sawtooth Software market-research software company site; live,False,
eu-1-id5-sync.com,site_unreachable,150,3014,True,False,True,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://eu-1-id5-sync.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adtech_infrastructure,ID5 cookie-sync endpoint; unambiguous -sync name; DDG-listed,False,
musio.co,empty_groups,3,2910,True,False,False,,,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,content_site,"Musio AI robot companion product site; HA-measured 2022, dead to probe today",False,
realtor.com,empty_groups,95,2825,True,False,True,,Move Inc.,True,False,,False,True,http_error,429.0,https://www.realtor.com:443/,,,True,https://www.realtor.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Realtor.com listings portal; 429 rate-limit today = bot defense; DDG listing reflects Move Inc trackers,False,
get663.com,empty_groups,6,2705,True,False,False,,,False,False,,False,True,dead,,,,http: ConnectionError,False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; opaque promo-style name",False,
wayfair.com,empty_groups,106,2446,True,False,False,,,True,False,,False,True,http_error,429.0,https://www.wayfair.com/,Access to this page has been denied,,True,https://www.wayfair.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"Wayfair retail; bot wall today (Access denied, 429)",False,
ps-di.com,empty_groups,90,2429,True,False,False,,,False,False,,False,True,live,200.0,https://is.ps-di.com,Paradigm,,True,https://is.ps-di.com/auth/login,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,content_site,Resolves to is.ps-di.com titled Paradigm (care-management company); corporate/service site,False,
insights-today.com,site_unreachable,109,2388,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing",False,
enginesurveys.com,empty_groups,33,2326,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; suggestive survey-lander name uncorroborated",False,
protonmail.com,empty_groups,5,2311,True,False,False,,,True,False,,False,True,redirect,200.0,https://proton.me/mail,Proton Mail: Get a free email account with privacy and encryption | Proton,,True,https://proton.me/mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Proton Mail; legacy domain redirects to proton.me (same operation rebrand),True,
chess.com,api_network_error,13,2165,True,False,False,,,True,False,,False,True,live,200.0,https://www.chess.com/,Chess.com - Play Chess Online - Free Games,,True,https://www.chess.com/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,content_site,Chess.com game site; live; original failure was scraper-side network error,False,
ttvnw.net,empty_groups,22,2073,True,False,True,,"Amazon Technologies, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,cdn_api_host,"Twitch video/CDN domain (ttvnw = TwitchTV network); DDG-listed, owner Amazon; no homepage by design",True,
pushnetwork.com,empty_groups,19,1984,True,False,False,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://pushnetwork.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adtech_infrastructure,Push-notification ad network; unambiguous name; dead today,False,
roku.com,empty_groups,54,1846,True,False,False,,,True,False,,False,True,live,200.0,https://www.roku.com/,Roku,,True,https://www.roku.com/,4.0,1.0,0.0,0.0,0.0,0.0,1.0,,content_site,"Roku; live, recognizable brand",False,
neet.tv,empty_groups,1,1827,True,False,False,,,False,False,,False,True,http_error,404.0,https://neet.tv/,404 Not Found,,True,https://neet.tv/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,unknown,"404 today; no WB capture, not HA-measured, no DDG listing; anime-sounding name uncorroborated",False,
ibanking-services.com,empty_groups,15,1743,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,cdn_api_host,Fiserv white-label online-banking application host serving bank/CU clients; no homepage by design; dead to probe today,False,
cdnwidget.com,site_unreachable,76,1696,True,False,True,Obscure Ownership;Unknown High Risk Behavior,CDNWIDGET.COM,False,False,,False,True,dead,,,,http: ConnectionError,True,https://cdnwidget.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adtech_infrastructure,DDG-listed with Obscure Ownership / Unknown High Risk Behavior categories; tracking-widget CDN; dead today,False,
wmcdp.io,empty_groups,29,1569,True,False,True,,"Warner Bros. Discovery, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,Warner Bros. Discovery customer-data-platform (CDP) collection endpoint; DDG-listed,False,
pineconeresearch.com,empty_groups,80,1519,True,False,False,,,True,False,,False,True,dead,,,,http: SSLError,True,https://www.pineconeresearch.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"Pinecone Research (Nielsen) survey-panel site; HA-measured 2022, dead to probe today",False,
discoveryplus.com,empty_groups,58,1471,True,False,False,,,True,False,,False,True,live,200.0,https://www.discoveryplus.com/,discovery+ | Stream Real-Life TV Episodes,,True,https://www.discoveryplus.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,content_site,discovery+ streaming; live,False,
instiengage.com,site_unreachable,41,1375,True,False,True,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://instiengage.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adtech_infrastructure,Insticator engagement/ad widget endpoint; DDG-listed; dead today,False,
gap.com,empty_groups,50,1174,True,False,False,,,True,True,20220615130338.0,True,True,live,200.0,https://www.gap.com/,"Gap Individual style for Women's, Men's, Baby & Kids' Clothing",,False,,,,,,,,,"Shop Gap for Casual Women's, Men's, Maternity, Baby & Kids Clothes",content_site,Gap retail; live; WB-2022 title confirms,False,
bathandbodyworks.com,empty_groups,33,1158,True,False,False,,,True,False,,False,True,live,307.0,https://bathandbodyworks.com/,Access to this page has been denied,,True,https://www.bathandbodyworks.com/,11.0,10.0,0.0,0.0,0.0,0.0,0.0,,content_site,Bath & Body Works retail; bot wall today (Access denied),False,
ibotta.com,empty_groups,53,1143,True,False,False,,,True,False,,False,True,live,200.0,https://ibotta.com/,Ibotta | Performance Marketing Leader,,True,https://ibotta.com/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Ibotta cashback service; live,False,
b4k.co,empty_groups,1,1111,True,False,False,,,False,False,,False,True,live,200.0,https://b4k.co/,b4k.co,,True,https://b4k.co/,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,content_site,"4chan board archive (arch.b4k.co); live, user-facing",False,
prmutv.co,empty_groups,119,979,True,False,True,,"Permutive, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"Permutive publisher audience/CDP endpoint; DDG-listed, owner Permutive; dead today",False,
mygiftcardsplus.com,empty_groups,38,955,True,False,False,,,True,False,,False,True,live,200.0,https://www.mygiftcardsplus.com/,MyGiftCardsPlus: Get cash back on gift cards purchases. Top-rated by customers,,True,https://www.mygiftcardsplus.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"Gift-card cashback shop; live, substantive title",False,
tophatter.com,empty_groups,5,899,True,False,False,,,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,content_site,Tophatter auction/shopping site (defunct); HA-measured 2022; recognizable brand,False,
samsung.com,empty_groups,103,868,True,False,True,,Samsung Electronics Co. Ltd,True,False,,False,True,live,200.0,https://www.samsung.com/us/,Samsung US | Mobile | TV | Home Electronics | Home Appliances | Samsung US,,True,https://www.samsung.com/us/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"Samsung; live; DDG listing reflects Samsung trackers, but sampled domain is the main retail/brand site",False,
ozone.ai,empty_groups,2,847,True,False,False,,,True,False,,False,True,live,200.0,http://ozone.ai/,Future home of ozone.ai,https: ConnectionError,False,,,,,,,,,,unknown,Parked-style page today (Future home of ozone.ai); HA-measured 2022 but function then not evidenced,False,
ghostery.net,api_network_error,1,822,True,False,True,,,False,False,,False,True,http_error,403.0,http://ghostery.net/,ERROR: The request could not be satisfied,https: SSLError,False,,,,,,,,,,cdn_api_host,Ghostery secondary/CDN domain (main site ghostery.com); CloudFront error today; DDG-listed,False,
wgntv.com,empty_groups,6,784,True,False,False,,,True,False,,False,True,http_error,403.0,https://wgntv.com/,Access to this page has been denied,,True,https://wgntv.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,WGN Chicago TV news; bot wall today (Access denied),False,
ipinfo.io,empty_groups,22,766,True,False,True,,"IDB, LLC",True,False,,False,True,live,200.0,https://ipinfo.io/,IP Data Intelligence for Developers & Enterprises | IPinfo,,False,,,,,,,,,,cdn_api_host,IPinfo IP-geolocation API; appears in logs via API lookups; DDG-listed; corporate homepage secondary to API function,False,
toyhou.se,empty_groups,4,748,True,False,False,,,True,False,,False,True,live,200.0,https://toyhou.se/,Toyhouse,,True,https://toyhou.se/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Toyhouse character-art community; live,False,
theepochtimes.com,empty_groups,22,667,True,False,False,,,True,False,,False,True,live,200.0,https://www.theepochtimes.com/,"The Epoch Times | Breaking News, Latest News, World News and Videos",,True,https://www.theepochtimes.com/,10.0,2.0,0.0,0.0,0.0,0.0,1.0,,content_site,Epoch Times news site; live,False,
hentairead.com,empty_groups,1,539,True,False,False,,,False,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://hentairead.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adult_content,Adult manga site (name + network filter interception); user-facing,False,
apartments.com,empty_groups,40,530,True,False,False,,,True,False,,False,True,http_error,403.0,https://apartments.com/,Access Denied,,True,https://www.apartments.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,content_site,Apartments.com listings portal; bot wall today (Access Denied),False,
dealer.com,empty_groups,19,486,True,False,True,,Dealer Dot Com Inc,True,False,,False,True,live,200.0,https://www.dealer.com/,Automotive Digital Marketing Solutions | Dealer.com,,True,https://www.dealer.com/,11.0,17.0,0.0,0.0,0.0,0.0,1.0,,adtech_infrastructure,Cox Automotive digital-marketing/ad platform for dealerships; DDG-listed tracker; appears via dealer-site embeds,False,
connectebt.com,empty_groups,10,457,True,False,False,,,True,False,,False,True,live,200.0,https://www.ConnectEBT.com/,,,True,https://www.connectebt.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,content_site,ConnectEBT benefits-balance portal; live; deliberate user visits,False,
odycdn.com,empty_groups,3,450,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,cdn_api_host,Odysee video CDN; unambiguous cdn name; dead to probe today,False,
diply.com,empty_groups,5,444,True,False,False,,,True,False,,False,True,live,200.0,https://diply.com/,Diply – Get Lost Somewhere Good…,,True,https://diply.com/,27.0,21.0,0.0,0.0,0.0,0.0,1.0,,content_site,Diply viral-content site; live,False,
slingoarcade.com,empty_groups,2,439,True,False,False,,,True,False,,False,True,live,200.0,https://www.slingoarcade.com:443/,Slingo Arcade – A fast-moving social casino built on the simple idea that slots + bingo = seriously compelling gameplay.,,False,,,,,,,,,,content_site,Slingo Arcade social casino; live,False,
hometalk.com,empty_groups,27,427,True,False,True,,,True,False,,False,True,live,200.0,https://www.hometalk.com,DIY Projects for the Home | Hometalk,,True,https://www.hometalk.com/,59.0,151.0,0.0,0.0,0.0,0.0,1.0,,content_site,Hometalk DIY community; live; DDG listing exists but sampled domain is the destination site,False,
academy.com,empty_groups,19,419,True,False,False,,,True,False,,False,True,live,200.0,https://www.academy.com/,"Academy Sports + Outdoors | Quality Sporting Goods | Top Hunting, Fishing & Outdoor Gear",,True,https://www.academy.com/,9.0,2.0,0.0,1.0,0.0,1.0,0.0,,content_site,Academy Sports + Outdoors retail; live,True,
discordapp.com,empty_groups,15,408,True,False,True,,"Discord, Inc.",True,False,,False,True,redirect,200.0,https://discord.com/,Discord - Group Chat That’s All Fun & Games,,True,https://discord.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,content_site,"Discord legacy domain (redirects to discord.com, same operation); panel visits = Discord web app/CDN use",False,
key.com,site_unreachable,11,319,True,False,False,,,True,False,,False,True,dead,,,,http: ReadTimeout,False,,,,,,,,,,content_site,"KeyBank retail banking site; blocks automated probes (dead here, site_unreachable in 2025 scan) - bot defense, not death",False,
express.com,empty_groups,11,316,True,False,False,,,True,False,,False,True,http_error,403.0,https://www.express.com/,Access Denied,,True,https://www.express.com/,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,content_site,Express retail; bot wall today (Access Denied),False,
lr-in.com,empty_groups,27,312,True,False,True,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"DDG-listed tracker endpoint; ingest-style name (lr-in); dead today, never HA-measured",False,
saksoff5th.com,empty_groups,8,311,True,False,False,,,True,False,,False,True,live,200.0,https://www.saksoff5th.com/,Site Offline,,True,https://www.saksoff5th.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,Saks Off 5th retail; Site Offline interstitial today = bot defense on a live retailer,False,
xlviiirdr.com,empty_groups,8,306,True,False,True,,,False,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://xlviiirdr.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adtech_infrastructure,DDG-listed; unambiguous redirector name morphology (rdr); network-filtered from probe vantage,False,
cricketwireless.com,empty_groups,17,284,True,False,False,,,True,False,,False,True,live,200.0,https://www.cricketwireless.com/,Cricket Wireless | Unlimited Phone Plans | Affordable Cell Phones | No Contract,,True,https://www.cricketwireless.com/,17.0,11.0,1.0,0.0,0.0,1.0,1.0,,content_site,Cricket Wireless carrier site; live,False,
igodigital.com,site_unreachable,37,283,True,False,True,Ad Motivated Tracking;Advertising;Analytics;Audience Measurement;Third-Party Analytics Marketing,"Salesforce.com, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"DDG categories: Ad Motivated Tracking, Advertising, Analytics; Salesforce predictive-personalization endpoint; dead today",True,
elfcosmetics.com,empty_groups,3,276,True,False,False,,,True,False,,False,True,live,200.0,https://www.elfcosmetics.com/,e.l.f. Cosmetics: Affordable Makeup & Skincare - Cruelty Free | e.l.f. Cosmetics,,True,https://www.elfcosmetics.com/,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,e.l.f. Cosmetics retail; live,False,
remotasks.com,empty_groups,1,275,True,False,False,,,False,False,,False,True,live,200.0,https://www.remotasks.com/en,Remotasks | Earn $USD Doing Online Tasks from Home,,True,https://www.remotasks.com/en,3.0,0.0,0.0,1.0,0.0,0.0,1.0,,content_site,Remotasks gig-work platform; live,False,
adoptapet.com,empty_groups,13,272,True,False,False,,,True,False,,False,True,live,200.0,https://www.adoptapet.com/,"Adopt a Pet: Search Dogs, Cats & Pets for Adoption Near You",,True,https://www.adoptapet.com/,8.0,3.0,0.0,0.0,0.0,0.0,1.0,,content_site,Adopt a Pet listings; live,False,
eatthis.com,empty_groups,49,256,True,False,False,,,True,False,,False,True,live,200.0,https://www.eatthis.com/,"Eat This, Not That: Health, Nutrition, Weight Loss & Recipes",,True,https://www.eatthis.com/,70.0,83.0,0.0,0.0,0.0,0.0,1.0,,content_site,Eat This Not That content site; live,False,
sparrow.org,empty_groups,2,253,True,False,False,,,True,False,,False,True,redirect,200.0,https://www.uofmhealthsparrow.org/,,,True,https://www.uofmhealthsparrow.org/,0.0,7.0,0.0,1.0,0.0,0.0,0.0,,content_site,Sparrow hospital (now UofM Health Sparrow; same-operation redirect); live,False,
quordle.com,empty_groups,7,242,True,False,False,,,True,False,,False,True,redirect,200.0,https://www.merriam-webster.com/games/quordle/,,,True,https://www.merriam-webster.com/games/quordle/,52.0,100.0,0.0,0.0,0.0,1.0,1.0,,content_site,Quordle word game (acquired by Merriam-Webster; same-operation redirect); live,False,
seekingcrush.com,empty_groups,1,235,True,False,False,,,False,False,,False,True,dead,,,,http: ConnectionError,False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; dating-lander name uncorroborated",False,
metlife.com,empty_groups,4,215,True,False,False,,,True,True,20220614225238.0,True,True,live,200.0,https://www.metlife.com/,Insurance and Employee Benefits | MetLife,,True,https://www.metlife.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insurance and Employee Benefits | MetLife,content_site,MetLife insurance; live; WB-2022 title identical,True,
inmoment.com,empty_groups,29,195,True,False,True,,"InMoment, Inc.",True,False,,False,True,live,200.0,https://inmoment.com/,Integrated Customer Experience Solutions with AI | InMoment,,True,https://inmoment.com/,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,content_site,InMoment customer-experience survey platform; panelists reach hosted feedback surveys deliberately; live corporate site,False,
nextmillmedia.com,empty_groups,62,174,True,False,True,,"Next Millennium Media, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,Next Millennium Media ad network (DDG owner); dead today,False,
tp88trk.com,empty_groups,21,148,True,False,True,,,False,True,20220608171620.0,True,True,http_error,404.0,http://tp88trk.com/,,https: SSLError,False,,,,,,,,,Performance Marketing Platform,adtech_infrastructure,WB-2022 title: Performance Marketing Platform; unambiguous trk name; DDG-listed,False,
plateau.com,empty_groups,1,145,True,False,False,,,False,False,,False,True,dead,,,,http: ConnectTimeout,False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; generic word name uninformative",False,
chipotle.com,empty_groups,13,114,True,False,False,,,True,False,,False,True,live,200.0,https://www.chipotle.com/,Mexican Food - Restaurant & Catering - Chipotle Mexican Grill,,True,https://www.chipotle.com/,10.0,10.0,0.0,1.0,0.0,0.0,0.0,,content_site,Chipotle restaurant chain; live,False,
lifewayequipa.com,empty_groups,1,92,True,False,False,,,False,False,,False,True,live,200.0,https://www.LIFEWAYEQUIPA.COM,EQUIPA,https: SSLError,False,,,,,,,,,,content_site,Lifeway EQUIPA (Spanish-language church ministry resources); live,False,
medscape.com,empty_groups,13,79,True,False,True,,"WebMD, LLC",True,False,,False,True,live,200.0,https://www.medscape.com/,"Latest Medical News, Clinical Trials, Guidelines - Today on Medscape",,True,https://www.medscape.com/,25.0,43.0,0.0,1.0,0.0,1.0,1.0,,content_site,"Medscape medical news (WebMD); live; DDG listing reflects WebMD trackers, sampled domain is the destination site",False,
stylitics.com,empty_groups,16,75,True,False,True,,"Stylitics, Inc.",False,True,20220621145420.0,True,True,live,200.0,https://stylitics.com/,,,True,https://stylitics.com/,9.0,28.0,0.0,1.0,0.0,0.0,0.0,Home - Stylitics Inc.,adtech_infrastructure,Stylitics retail merchandising/recommendation widget platform embedded on retailer sites; DDG-listed; WB title confirms,False,
blidz.com,empty_groups,1,49,True,False,False,,,False,False,,False,True,live,200.0,https://blidz.com/,Blidz,,True,https://blidz.com/,4.0,0.0,0.0,0.0,0.0,1.0,1.0,,content_site,Blidz social-shopping app site; live,False,
miqcommerce.com,empty_groups,3,40,True,False,True,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,MiQ programmatic-advertising commerce endpoint; DDG-listed; dead today,False,
clearvoicesurveysmail.com,empty_groups,14,35,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"Email click-redirect domain for ClearVoice Surveys panel mailings; redirect plumbing, not a destination; dead today",False,
icbf-congress.com,empty_groups,1,33,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing",False,
tyt.com,empty_groups,1,23,True,False,False,,,False,False,,False,True,live,200.0,https://tyt.com/,Home - TYT.com,,False,,,,,,,,,,content_site,The Young Turks news/commentary; live,False,
heraldtimesonline.com,empty_groups,2,22,True,False,False,,,True,False,,False,True,live,200.0,https://www.heraldtimesonline.com/,"The Herald-Times: Local News, Politics & Sports in Bloomington, IN",,True,https://www.heraldtimesonline.com/,68.0,22.0,0.0,0.0,1.0,0.0,1.0,,content_site,Bloomington IN Herald-Times local news; live,False,
